,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
48,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,173cm,68kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
49,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,178cm,63kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
50,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,179cm,70kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
51,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,175cm,70kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
52,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,178cm,76kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
53,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,167cm,60kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
54,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,여자,165cm,59kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
55,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,182cm,80kg,큼,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
56,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,175cm,76kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
57,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,175cm,70kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
58,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,181cm,77kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
59,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,176cm,75kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
60,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,183cm,72kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
61,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,173cm,70kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
