,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
66,보아 집업 자켓 아이보리,남자,177cm,60kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
67,보아 집업 자켓 아이보리,남자,181cm,78kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
68,보아 집업 자켓 아이보리,여자,170cm,51kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
69,보아 집업 자켓 아이보리,여자,159cm,48kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
70,보아 집업 자켓 아이보리,여자,167cm,59kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
71,보아 집업 자켓 아이보리,남자,168cm,64kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
72,보아 집업 자켓 아이보리,여자,168cm,53kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
73,보아 집업 자켓 아이보리,여자,167cm,52kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
74,보아 집업 자켓 아이보리,여자,170cm,70kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
75,보아 집업 자켓 아이보리,여자,158cm,42kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
76,보아 집업 자켓 아이보리,남자,175cm,65kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
77,보아 집업 자켓 아이보리,여자,165cm,62kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
78,보아 집업 자켓 아이보리,여자,159cm,49kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
79,보아 집업 자켓 아이보리,여자,158cm,47kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
80,보아 집업 자켓 아이보리,여자,145cm,48kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
81,보아 집업 자켓 아이보리,남자,180cm,70kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
82,보아 집업 자켓 아이보리,남자,175cm,78kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
83,보아 집업 자켓 아이보리,여자,157cm,53kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
84,보아 집업 자켓 아이보리,여자,171cm,55kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
85,보아 집업 자켓 아이보리,여자,161cm,68kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
86,보아 집업 자켓 아이보리,남자,177cm,60kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
87,보아 집업 자켓 아이보리,여자,160cm,52kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
88,보아 집업 자켓 아이보리,여자,157cm,53kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
89,보아 집업 자켓 아이보리,남자,175cm,72kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
90,보아 집업 자켓 아이보리,여자,158cm,49kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
91,보아 집업 자켓 아이보리,여자,165cm,46kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
92,보아 집업 자켓 아이보리,남자,172cm,68kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
93,보아 집업 자켓 아이보리,남자,170cm,76kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
94,보아 집업 자켓 아이보리,여자,164cm,49kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
95,보아 집업 자켓 아이보리,여자,155cm,54kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
96,보아 집업 자켓 아이보리,남자,165cm,68kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
97,보아 집업 자켓 아이보리,여자,169cm,52kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
98,보아 집업 자켓 아이보리,남자,183cm,80kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
99,보아 집업 자켓 아이보리,남자,160cm,58kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
