,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
54,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,163cm,60kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
55,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,171cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
56,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,172cm,88kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
57,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,173cm,85kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
58,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,167cm,60kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
59,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,185cm,95kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
60,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,148cm,48kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
61,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,174cm,68kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
62,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,170cm,64kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
63,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,180cm,80kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
64,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,175cm,68kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
65,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,173cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
66,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,171cm,67kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
